betroffene_anlage,primaerenergieart,energy_conflict,max_dispatched_mw,tsos,n_events,entry_type,name_technology
AVA Cluster Sottrum T411 T413,Erneuerbar,False,406.74,TenneT DE,67,cluster,
SHN Cluster Kiel Süd,Erneuerbar,False,600.0,TenneT DE,121,cluster,
SHN Cluster Audorf Süd,Erneuerbar,False,200.0,TenneT DE,21,cluster,
SHN Cluster Itzehoe West,Erneuerbar,False,250.0,TenneT DE,9,cluster,
SHN Cluster Krümmel,Erneuerbar,False,400.0,TenneT DE,47,cluster,
SHN Cluster Kummerfeld,Erneuerbar,False,220.0,TenneT DE,38,cluster,
SHN Cluster Lübeck,Erneuerbar,False,169.26,TenneT DE,54,cluster,
SHN Cluster Heide West T413,Erneuerbar,False,300.0,TenneT DE,188,cluster,
WEISWEILER_F_110,Konventionell,False,125.0,Amprion,12,individual,
AMP_WESTNETZ_SAUERLAND_CR_WIND,Erneuerbar,False,250.0,Amprion,3,control_reserve,Wind
50H_WEMA_CR_GOE,Erneuerbar,False,260.0,50Hertz,116,control_reserve,
50H_WEMA_CR_PMS,Erneuerbar,False,300.0,50Hertz,48,control_reserve,
SHN Cluster Handewitt T411 T413,Erneuerbar,False,200.0,TenneT DE,3,cluster,
Bremen BHKW,Konventionell,False,104.0,TenneT DE,5,individual,
GERSTEINW_F (KapRes),Konventionell,False,355.0,Amprion,53,individual,
50H OWP Baltic 1+2 Süd MIO,Erneuerbar,False,255.0,50Hertz,8,individual,Wind
50H_EDIS_CR_ATS,Erneuerbar,False,300.0,50Hertz,12,control_reserve,
50H_AVA_CR_STW,Erneuerbar,False,700.0,50Hertz,106,control_reserve,
50H_AVA_CR_WOL,Erneuerbar,False,627.0,50Hertz,109,control_reserve,
50H_AVA_CR_FOE,Erneuerbar,False,300.0,50Hertz,69,control_reserve,
50H Neubrandenburg GuD,Konventionell,False,56.0,50Hertz,82,individual,
NIEDERAUSSEM_E,Konventionell,False,150.0,Amprion,3,individual,
50H_EDIS_CR_PE,Erneuerbar,False,400.0,50Hertz,33,control_reserve,
AMP_VSE_CR_WIND,Erneuerbar,False,222.0,Amprion,7,control_reserve,Wind
50H_EDIS_CR_EH,Erneuerbar,False,400.0,50Hertz,21,control_reserve,
AMP_WESTNETZ_NAHE_CR_WIND,Erneuerbar,False,350.0,Amprion,14,control_reserve,Wind
SHN Cluster Jardelund,Erneuerbar,False,228.74,TenneT DE,14,cluster,
HKW_ROEMER_LM600,Konventionell,False,44.0,Amprion,1,individual,
SHN Cluster Handewitt T411,Erneuerbar,False,400.0,TenneT DE,28,cluster,
AVA Cluster Dollern,Erneuerbar,False,276.31,TenneT DE,11,cluster,
HKW BARMEN 1,Konventionell,False,28.0,Amprion,51,individual,
50H Stralsund BHKW+PtH,Konventionell,False,10.0,50Hertz,50,individual,
EE Bayern,Erneuerbar,False,1500.0,TenneT DE,179,regional_renewable,
AMP_LEW_VERTEILNETZ_NORD_CR_WIND,Erneuerbar,False,20.0,Amprion,2,control_reserve,Wind
AMP_LEW_VERTEILNETZ_SUED_CR_WIND,Erneuerbar,False,40.0,Amprion,1,control_reserve,Wind
SHN Cluster Brunsbüttel,Erneuerbar,False,76.87,TenneT DE,4,cluster,
50H PV Witznitz,Erneuerbar,False,393.0,50Hertz,456,individual,Solar
AMP_SYNA_TAUNUS_CR_WIND,Erneuerbar,False,15.0,Amprion,2,control_reserve,Wind
Leitzach 2 M21,Sonstiges,False,22.0,TenneT DE,7,individual,
Leitzach 2 M22,Sonstiges,False,22.0,TenneT DE,4,individual,
AVA Cluster Elsen,Erneuerbar,False,440.0,TenneT DE,39,cluster,
Netzreservekraftwerk VOELKLINGEN_HKV,Konventionell,False,200.0,Amprion,17,individual,
50H Leipzig Süd GuD,Konventionell,False,30.0,50Hertz,27,individual,
50H_WEMA_CR_GUE,Erneuerbar,False,150.0,50Hertz,16,control_reserve,
50H_WEMA_CR_PE,Erneuerbar,False,180.0,50Hertz,24,control_reserve,
Netzreservekraftwerk VOELKLINGEN_MKV,Konventionell,False,150.0,Amprion,5,individual,
GAMOR_ROEMER,Konventionell,False,10.0,Amprion,3,individual,
ReserveKW Staudinger 5,Konventionell,False,522.0,TenneT DE,238,individual,
AVA Cluster Ohlensehlen,Erneuerbar,False,675.12,TenneT DE,71,cluster,
SHN Cluster Hamburg Nord,Erneuerbar,False,107.66,TenneT DE,21,cluster,
Netzreservekraftwerk Bexbach A,Konventionell,False,726.0,Amprion,217,individual,
Grosskraftwerk Mannheim Block 6,Konventionell,False,205.0,TransnetBW,69,individual,
AMP_WESTNETZ_TRIER_CR_WIND,Erneuerbar,False,300.0,Amprion,8,control_reserve,Wind
Netzreservekraftwerk Weiher C,Konventionell,False,605.0,Amprion,123,individual,
50H Leipzig Nord GuD,Konventionell,False,57.0,50Hertz,33,individual,
50H Hamburg MMB BHKW PtH,Konventionell,False,18.0,50Hertz,61,individual,
WP_BEDBURG,Erneuerbar,False,47.0,Amprion,3,individual,
WP_BEDBURG A44N,Erneuerbar,False,17.0,Amprion,7,individual,
WP_JUECHEN A44N,Erneuerbar,False,22.0,Amprion,8,individual,
WP_TITZ,Erneuerbar,False,18.0,Amprion,13,individual,
50H_EDIS_CR_GUE_Sued,Erneuerbar,False,300.0,50Hertz,17,control_reserve,
50H_EDIS_CR_PZS,Erneuerbar,False,109.0,50Hertz,17,control_reserve,
Burghausen,Konventionell,False,30.0,TenneT DE,5,individual,
50H_EDIS_CR_LHG,Erneuerbar,False,100.0,50Hertz,15,control_reserve,
50H_EDIS_CR_SOW_Nord,Erneuerbar,False,160.0,50Hertz,14,control_reserve,
50H_EDIS_CR_BW,Erneuerbar,False,350.0,50Hertz,12,control_reserve,
50H_EDIS_CR_GUE_Nord,Erneuerbar,False,250.0,50Hertz,40,control_reserve,
Würzburg GT 2,Konventionell,False,34.0,TenneT DE,20,individual,
Plattling GT,Konventionell,False,65.0,TenneT DE,1,individual,
Braunschweig HKWM GT31,Konventionell,False,62.0,TenneT DE,71,individual,
AVA Cluster Wechold,Erneuerbar,False,400.0,TenneT DE,23,cluster,
AVA Cluster Lüneburg T412,Erneuerbar,False,141.31,TenneT DE,16,cluster,
AVA Cluster Lüneburg T413,Erneuerbar,False,172.9,TenneT DE,22,cluster,
AVA Cluster Lehrte,Erneuerbar,False,596.33,TenneT DE,99,cluster,
50H_EDIS_CR_WU,Erneuerbar,False,500.0,50Hertz,48,control_reserve,
50H_WEMA_CR_WE,Erneuerbar,False,100.0,50Hertz,3,control_reserve,
50H Dresden-Nossen,Konventionell,False,102.0,50Hertz,46,individual,
GuDAnlageM120,Konventionell,False,27.0,Amprion,1,individual,
Reservekraftwerk Rheinhafen-Dampfkraftwerk Karlsruhe Block 7,Konventionell,False,495.0,TransnetBW,199,individual,
Netzreservekraftwerk BERGKAMEN_A,Konventionell,False,1010.0,Amprion,134,individual,
Leitzach Pool,Sonstiges,False,96.0,TenneT DE,114,individual,
AVA Cluster Stadorf,Erneuerbar,False,400.0,TenneT DE,51,cluster,
AVA Cluster Sottrum T412,Erneuerbar,False,55.87,TenneT DE,14,cluster,
50H OWP Baltic Eagle,Erneuerbar,False,463.0,50Hertz,362,individual,Wind
Eltmann,Konventionell,False,50.0,TenneT DE,83,individual,
AMP_LEW_VERTEILNETZ_SUED_CR_PHOTOVOLTAIK,Erneuerbar,False,230.0,Amprion,5,control_reserve,Solar
AMP_LEW_VERTEILNETZ_SUED_CR_SONSTIGE_EE,Sonstiges,False,43.0,Amprion,3,control_reserve,Other renewable
AMP_LEW_VERTEILNETZ_NORD_CR_PHOTOVOLTAIK,Erneuerbar,False,183.0,Amprion,4,control_reserve,Solar
AMP_LEW_VERTEILNETZ_NORD_CR_SONSTIGE_EE,Sonstiges,False,12.0,Amprion,3,control_reserve,Other renewable
AVA Cluster Helmstedt,Erneuerbar,False,643.83,TenneT DE,110,cluster,
Wemag CAT Cluster Perleberg 003,Konventionell,False,9.0,50Hertz,1,cluster,
AVA Cluster Twistetal,Erneuerbar,False,344.73,TenneT DE,52,cluster,
Netzreservekraftwerk SCHOLVEN_B,Konventionell,False,220.0,Amprion,12,individual,
CHEMIEPARK_MARL_KRAFTWERKE,Konventionell,False,55.0,Amprion,47,individual,
Braunschweig HKWN GT,Konventionell,False,24.0,TenneT DE,50,individual,
HATTINGEN_AIRPRODUCTS(KapRes),Sonstiges,False,9.0,Amprion,4,individual,
OWP Gode Wind 3 AC160,Erneuerbar,False,196.83,TenneT DE,1,individual,Wind
50H_EDIS_CR_HND,Erneuerbar,False,200.0,50Hertz,28,control_reserve,
50H_EDIS_CR_NHG_Sued,Erneuerbar,False,300.0,50Hertz,2,control_reserve,
GERSTEINW_K1 (KapRes),Konventionell,False,95.0,Amprion,23,individual,
50H_EDIS_CR_GSE,Erneuerbar,False,104.0,50Hertz,6,control_reserve,
AMP_WESTNETZ_EIFEL_CR_WIND,Erneuerbar,False,93.0,Amprion,3,control_reserve,Wind
AMP_WESTNETZ_PLAIDT_CR_WIND,Erneuerbar,False,200.0,Amprion,7,control_reserve,Wind
AMP_WESTNETZ_SIERSDORF_CR_WIND,Erneuerbar,False,54.0,Amprion,4,control_reserve,Wind
Marbach GT 4 (bnBm),Konventionell,False,320.0,TransnetBW,24,individual,
Mercedes_Sindelfingen_GT1,Konventionell,False,6.0,TransnetBW,1,individual,
50H_EDIS_CR_THY,Erneuerbar,False,200.0,50Hertz,3,control_reserve,
Netzreservekraftwerk HERNE_4,Konventionell,False,440.0,Amprion,57,individual,
Grosskraftwerk Mannheim Block 8,Konventionell,False,405.0,TransnetBW,154,individual,
AVA Cluster Algermissen T411,Erneuerbar,False,8.52,TenneT DE,1,cluster,
AVA Cluster Algermissen T412,Erneuerbar,False,1.59,TenneT DE,1,cluster,
AVA Cluster Hannover West,Erneuerbar,False,7.6,TenneT DE,1,cluster,
AVA Cluster Vörden,Erneuerbar,False,86.15,TenneT DE,6,cluster,
50H EnviaTherm Bitterfeld GuD,Konventionell,False,50.0,50Hertz,11,individual,
EnBW Pumpverbot,,False,245.0,TransnetBW,1,individual,
AVA Cluster Alfstedt,Erneuerbar,False,750.0,TenneT DE,24,cluster,
50H Dresden-Reick,Konventionell,False,70.0,50Hertz,20,individual,
50H OWP Baltic 1+2 Nord,Erneuerbar,False,80.0,50Hertz,1,individual,Wind
50H Parchim,Konventionell,False,4.0,50Hertz,4,individual,
ReserveKW Zolling 5,Konventionell,False,450.0,TenneT DE,86,individual,
Baden-Württemberg Süd-Ost EE,Erneuerbar,False,128.69,TransnetBW,3,regional_renewable,
illwerke vkw AG,Sonstiges,False,1086.0,TransnetBW,819,foreign,
Baden-Württemberg Mitte EE,Erneuerbar,False,82.62,TransnetBW,4,regional_renewable,
AMP_WESTNETZ_NAHE_CR_PHOTOVOLTAIK,Erneuerbar,False,52.0,Amprion,2,control_reserve,Solar
Walchensee 1,Erneuerbar,False,18.0,TenneT DE,1,individual,
Walchensee 2,Erneuerbar,False,18.0,TenneT DE,1,individual,
Walchensee 3,Erneuerbar,False,18.0,TenneT DE,1,individual,
Walchensee 4,Erneuerbar,False,17.0,TenneT DE,2,individual,
BAG NWAK-Cluster 15 Pleinting,Erneuerbar,False,550.0,TenneT DE,161,cluster,
BAG NWAK-Cluster 17 Altheim,Erneuerbar,False,450.0,TenneT DE,175,cluster,
Netzreservekraftwerk GTKW-DA-POOL,Konventionell,False,92.0,Amprion,138,individual,
BAG NWAK-Cluster 16 Regensburg-Sittling,Erneuerbar,False,400.0,TenneT DE,90,cluster,
50H OWP Baltic 1+2,Erneuerbar,False,312.0,50Hertz,34,individual,Wind
BAG NWAK-Cluster 03 Bergrheinfeld-Schweinfurt,Erneuerbar,False,600.0,TenneT DE,51,cluster,
BAG NWAK-Cluster 04 Aschaffenburg,Erneuerbar,False,200.0,TenneT DE,38,cluster,
BAG NWAK-Cluster 05 Kriegenbrunn-Ludersheim,Erneuerbar,False,300.0,TenneT DE,14,cluster,
BAG NWAK-Cluster 12 Pirach-Simbach,Erneuerbar,False,406.0,TenneT DE,45,cluster,
BAG NWAK-Cluster 14 Schwandorf,Erneuerbar,False,400.0,TenneT DE,37,cluster,
BAG NWAK-Cluster 02 Oberhaid-Redwitz,Erneuerbar,False,500.0,TenneT DE,22,cluster,
Baden-Württemberg Nord-Ost EE,Erneuerbar,False,98.08,TransnetBW,2,regional_renewable,
BAG NWAK-Cluster 06 Raitersaich,Erneuerbar,False,300.0,TenneT DE,3,cluster,
BAG NWAK-Cluster 01 Mechlenreuth,Erneuerbar,False,300.0,TenneT DE,11,cluster,
TTG Cluster EE Bechterdissen T411,Erneuerbar,False,5.5,TenneT DE,3,cluster,
Stuttgart Umland Ost EE,Erneuerbar,False,1.11,TransnetBW,1,regional_renewable,
Baden-Württemberg Süd EE,Erneuerbar,False,13.1,TransnetBW,2,regional_renewable,
Baden-Württemberg West EE,Erneuerbar,False,1.32,TransnetBW,1,regional_renewable,
Stuttgart Umland Nord EE,Erneuerbar,False,1.31,TransnetBW,1,regional_renewable,
Baden-Württemberg Nord EE,Erneuerbar,False,98.18,TransnetBW,2,regional_renewable,
Baden-Württemberg Nord-West EE,Erneuerbar,False,20.84,TransnetBW,2,regional_renewable,
Stuttgart Umland Süd EE,Erneuerbar,False,1.02,TransnetBW,1,regional_renewable,
BAG NWAK-Cluster 13 Etzenricht,Erneuerbar,False,300.0,TenneT DE,17,cluster,
Braunschweig BHKW,Konventionell,False,10.0,TenneT DE,1,individual,
AVA Cluster Emden Borssum,Erneuerbar,False,400.0,TenneT DE,10,cluster,
WP Schafflund,Erneuerbar,False,101.0,TenneT DE,53,individual,
AVA Cluster Gießen Nord T413 T414,Erneuerbar,False,17.18,TenneT DE,3,cluster,
AMP_VSE_CR_SONSTIGE_EE,Sonstiges,False,1.0,Amprion,3,control_reserve,Other renewable
AMP_WESTNETZ_BORNHEIM_CR_WIND,Erneuerbar,False,3.0,Amprion,3,control_reserve,Wind
AMP_WESTNETZ_HUERTH_CR_WIND,Erneuerbar,False,21.0,Amprion,3,control_reserve,Wind
AMP_WESTNETZ_KREFELDNEUSS_CR_WIND,Erneuerbar,False,5.0,Amprion,3,control_reserve,Wind
AMP_WESTNETZ_NIEDERRHEIN_CR_WIND,Erneuerbar,False,59.0,Amprion,3,control_reserve,Wind
AMP_WESTNETZ_SIEGEN_CR_WIND,Erneuerbar,False,16.0,Amprion,3,control_reserve,Wind
AMP_WESTNETZ_MUENSTERLAND_CR_WIND,Erneuerbar,False,191.0,Amprion,3,control_reserve,Wind
AMP_VSE_CR_PHOTOVOLTAIK,Erneuerbar,False,93.0,Amprion,3,control_reserve,Solar
AMP_WESTNETZ_TRIER_CR_PHOTOVOLTAIK,Erneuerbar,False,100.0,Amprion,3,control_reserve,Solar
AMP_WESTNETZ_TRIER_CR_SONSTIGE_EE,Sonstiges,False,6.0,Amprion,3,control_reserve,Other renewable
GERSTEINW_GTI1,Konventionell,False,40.0,Amprion,1,individual,
HEIZKRAFTWERK_SAARBRÜCKEN,Konventionell,False,23.0,Amprion,1,individual,
HUCKINGEN_B,Konventionell,False,100.0,Amprion,5,individual,
AMP_WESTNETZ_DORTMUND_CR_WIND,Erneuerbar,False,1.0,Amprion,1,control_reserve,Wind
AMP_WESTNETZ_MUELHEIM_CR_WIND,Erneuerbar,False,1.0,Amprion,1,control_reserve,Wind
KURATIV_VIANDEN_POOL,Sonstiges,False,188.0,Amprion,2,foreign,
AMP_LEW_VERTEILNETZ_SUED_CR_KONVENTIONELL,Sonstiges,False,2.0,Amprion,1,control_reserve,Conventional
BAG NWAK-Cluster 08 Neufinsing,Erneuerbar,False,200.0,TenneT DE,2,cluster,
BAG NWAK-Cluster 10 Oberbachern,Erneuerbar,False,200.0,TenneT DE,1,cluster,
Braunschweig HKWM DT42,Konventionell,False,16.5,TenneT DE,5,individual,
UW Diele,Erneuerbar,False,1125.0,TenneT DE,184,substation,Wind
UW Büttel,Erneuerbar,False,1955.85,TenneT DE,527,substation,Wind
UW Emden-Ost,Erneuerbar,False,1160.54,TenneT DE,130,substation,Wind
UW Dörpen-West,Erneuerbar,False,2095.0,TenneT DE,353,substation,Wind
50H BASF Schwarzheide,Konventionell,False,29.0,50Hertz,46,individual,
BAG NWAK-Cluster 09 Marienberg,Erneuerbar,False,150.0,TenneT DE,5,cluster,
WP Neudersum,Erneuerbar,False,29.08,TenneT DE,1,individual,
AMP_SYNA_PFUNG_CR_WIND,Erneuerbar,False,20.0,Amprion,2,control_reserve,Wind
Notfall-RD mit SHN,Erneuerbar,False,800.0,TenneT DE,9,emergency,
Notfall-RD mit AVA,Erneuerbar,False,778.38,TenneT DE,17,emergency,
AMP_WESTNETZ_NIKE_CR_KONVENTIONELL,Sonstiges,False,2.0,Amprion,2,control_reserve,Conventional
CROC Cluster Parchim Süd,Sonstiges,False,230.0,50Hertz,7,cluster,
WP_GREVENBROICH,Erneuerbar,False,9.0,Amprion,1,individual,
50H_EDIS_CR_VIE_Sued,Erneuerbar,False,118.0,50Hertz,2,control_reserve,
OWP Albatros AC151 (kurativ),Erneuerbar,False,6.79,TenneT DE,2,individual,Wind
OWP BARD Offshore 1 AC102 (kurativ),Erneuerbar,False,10.52,TenneT DE,2,individual,Wind
OWP BARD Offshore 1 AC103 (kurativ),Erneuerbar,False,12.32,TenneT DE,2,individual,Wind
OWP Deutsche Bucht AC152 (kurativ),Erneuerbar,False,10.14,TenneT DE,2,individual,Wind
OWP Deutsche Bucht AC153 (kurativ),Erneuerbar,False,10.68,TenneT DE,2,individual,Wind
OWP Veja Mate AC104 (kurativ),Erneuerbar,False,21.04,TenneT DE,2,individual,Wind
OWP Veja Mate AC105 (kurativ),Erneuerbar,False,20.87,TenneT DE,2,individual,Wind
AVA Cluster Voslapp,Erneuerbar,False,950.0,TenneT DE,136,cluster,
HUCKINGEN_A,Konventionell,False,100.0,Amprion,14,individual,
CROC Cluster Görries,Sonstiges,False,100.0,50Hertz,5,cluster,
AVA Cluster SC Dipperz Großkrotzenburg,Erneuerbar,False,140.22,TenneT DE,16,cluster,
AVA Cluster Landesbergen,Erneuerbar,False,22.72,TenneT DE,3,cluster,
50H Bernburg,Konventionell,False,5.0,50Hertz,1,individual,
BATTERIESPEICHER_NEURATH,Sonstiges,False,20.0,Amprion,1,individual,
50H Chemnitz,Konventionell,False,50.0,50Hertz,13,individual,
50H Bad Salzungen HKW,Konventionell,False,5.0,50Hertz,5,individual,
OWP Borkum Riffgrund 3 Test,Erneuerbar,False,50.0,TenneT DE,1,individual,Wind
CROC Cluster Güstrow,Sonstiges,False,150.0,50Hertz,2,cluster,
50H_AVA_CR_WK,Erneuerbar,False,96.0,50Hertz,5,control_reserve,
AVA Cluster Emden Ost,Erneuerbar,False,200.0,TenneT DE,1,cluster,
50H PV Bartow,Erneuerbar,False,195.0,50Hertz,79,individual,Solar
HKW Aalen,Konventionell,False,38.0,TransnetBW,2,individual,
50H_MNS_CR_CRO,Erneuerbar,False,52.0,50Hertz,2,control_reserve,
ReserveKW Plattling,Konventionell,False,85.0,TenneT DE,11,individual,
OWP Borkum Riffgrund 3,Erneuerbar,False,216.84,TenneT DE,3,individual,Wind
Reservekraftwerk Heilbronn Block 7,Konventionell,False,730.0,TransnetBW,30,individual,
UW Garrel-Ost alpha,Erneuerbar,False,114.24,TenneT DE,5,substation,Wind
50H PV Haidemühl,Erneuerbar,False,15.0,50Hertz,26,individual,Solar
AVA Cluster Mehringen,Erneuerbar,False,232.39,TenneT DE,3,cluster,
Heizkraftwerk Stuttgart-Münster GT 88,Konventionell,False,60.0,TransnetBW,19,individual,
UW Höpfingen,Erneuerbar,False,150.0,TransnetBW,7,substation,
50H_EDIS_CR_SW,Erneuerbar,False,53.0,50Hertz,1,control_reserve,
AMP_LEW_VERTEILNETZ_NORD_CR_KWK,Sonstiges,False,2.0,Amprion,1,control_reserve,
AMP_LEW_VERTEILNETZ_SUED_CR_KWK,Sonstiges,False,5.0,Amprion,1,control_reserve,
50H_EDIS_CR_LUB,Erneuerbar,False,20.0,50Hertz,2,control_reserve,
50H_EDIS_CR_LV_WEST,Erneuerbar,False,200.0,50Hertz,5,control_reserve,
AVA Cluster Würgassen,Erneuerbar,False,40.25,TenneT DE,1,cluster,
50H_EDIS_CR_LV_NORD,Erneuerbar,False,66.0,50Hertz,2,control_reserve,
50H_EDIS_CR_LV_WU,Erneuerbar,False,250.0,50Hertz,9,control_reserve,
Heizkraftwerk Stuttgart-Münster GT 87,Konventionell,False,60.0,TransnetBW,17,individual,
Hannover-Linden GuD,Konventionell,False,215.0,TenneT DE,38,individual,
50H_MNS_CR_LV_OST,Erneuerbar,False,100.0,50Hertz,1,control_reserve,
CROC Cluster Perleberg,Sonstiges,False,30.0,50Hertz,1,cluster,
INFRA_HOE_GTX8,Konventionell,False,28.0,Amprion,2,individual,
